Date,AAUKF,ANFGF,BHP,CPER,ERO,FCX,FM.TO,GLNCY,HBM,HG=F,IVPAF,JJCTF,LUNMF,PICK,RIO,SCCO,TECK,TGB,XME,ZIJMF
2023-04-04,30.809377670288086,18.45587921142578,53.995018005371094,24.290000915527344,17.110000610351562,38.618961334228516,31.893375396728516,10.10493278503418,4.966374397277832,3.9835000038146973,9.130000114440918,42.630001068115234,6.141115665435791,37.74491882324219,55.639686584472656,64.98545837402344,42.022705078125,1.690000057220459,51.09715270996094,1.5326966047286987
2023-04-05,30.809377670288086,17.812288284301758,53.78215408325195,24.40999984741211,16.940000534057617,38.676513671875,31.585275650024414,9.947453498840332,5.185332775115967,3.997999906539917,9.140000343322754,44.0,6.365108966827393,37.32253646850586,55.573177337646484,64.46426391601562,40.93700408935547,1.659999966621399,50.509037017822266,1.5326966047286987
2023-04-06,30.170257568359375,17.812288284301758,53.17905807495117,24.579999923706055,17.59000015258789,38.64775085449219,31.39643669128418,9.938703536987305,5.125617027282715,4.026000022888184,8.789999961853027,44.0,6.421106338500977,37.133811950683594,55.490047454833984,64.89859771728516,42.62373352050781,1.6699999570846558,50.3424072265625,1.570308804512024
2023-04-10,30.170257568359375,16.894227981567383,53.498348236083984,24.389999389648438,17.209999084472656,38.494266510009766,30.909440994262695,9.947453498840332,4.956422328948975,3.9865000247955322,8.75,44.0,6.411773204803467,37.39443588256836,55.855831146240234,65.28950500488281,41.46046447753906,1.6299999952316284,50.74428939819336,1.6173239946365356
2023-04-11,31.110139846801758,16.894227981567383,55.61806106567383,24.68000030517578,17.700000762939453,39.45350646972656,32.748104095458984,10.236165046691895,5.1355695724487305,4.024499893188477,8.852999687194824,44.0,6.701096057891846,38.50880432128906,57.86759948730469,67.3482666015625,41.97423553466797,1.6799999475479126,51.489219665527344,1.68314528465271
2023-04-12,31.110139846801758,19.052146911621094,55.334251403808594,24.90999984741211,17.729999542236328,39.44390869140625,32.628841400146484,10.46363639831543,5.1654276847839355,4.084499835968018,8.960000038146973,44.0,6.841090679168701,38.607662200927734,57.71796798706055,67.22663879394531,41.68342208862305,1.6799999475479126,51.09715270996094,1.6643391847610474
2023-04-13,31.110139846801758,19.052146911621094,55.60919189453125,25.25,19.010000228881836,41.35015869140625,34.6165885925293,10.6648588180542,5.354528427124023,4.124000072479248,9.390000343322754,44.0,7.111748695373535,39.2726936340332,58.10868835449219,69.9195327758789,43.156890869140625,1.7599999904632568,52.20475769042969,1.692548394203186
2023-04-14,31.956039428710938,19.052146911621094,54.6158561706543,25.139999389648438,19.329999923706055,41.55233383178711,34.357208251953125,10.691105842590332,5.07585334777832,4.107500076293945,9.3100004196167,44.0,7.2890753746032715,38.88625717163086,57.011348724365234,69.96297454833984,43.835453033447266,1.75,51.37159729003906,1.6737421751022339
2023-04-17,31.956039428710938,18.929105758666992,55.11252212524414,24.940000534057617,18.8700008392334,40.551082611083984,34.7662239074707,10.603616714477539,5.175380229949951,4.065999984741211,9.350000381469727,44.0,7.466403007507324,39.04801940917969,57.53507614135742,69.4591293334961,47.160438537597656,1.7100000381469727,51.67546081542969,1.692548394203186
2023-04-18,31.956039428710938,19.383405685424805,56.1856803894043,25.049999237060547,19.93000030517578,41.35978698730469,35.28497314453125,10.813590049743652,5.394338130950928,4.0894999504089355,9.725000381469727,44.0,7.662395477294922,39.614200592041016,58.532657623291016,71.10093688964844,46.62726974487305,1.7899999618530273,51.98911666870117,1.7301605939865112
2023-04-19,32.46357345581055,19.383405685424805,55.64466857910156,24.889999389648438,19.799999237060547,40.32963943481445,34.177642822265625,10.734850883483887,5.2251434326171875,4.072000026702881,9.390000343322754,43.0,7.33574104309082,39.06599426269531,57.53507614135742,70.95325469970703,46.2589111328125,1.75,51.28338623046875,1.7019513845443726
2023-04-20,32.46357345581055,18.204389572143555,53.84424591064453,24.610000610351562,19.84000015258789,39.81938934326172,33.63894271850586,10.804841041564941,5.304765224456787,4.021999835968018,9.0,42.02000045776367,7.2330780029296875,38.5627326965332,55.947269439697266,70.11065673828125,45.14411926269531,1.7100000381469727,50.499229431152344,1.692548394203186
2023-04-21,30.076269149780273,18.204389572143555,52.10590362548828,24.43000030517578,19.299999237060547,38.182708740234375,31.61382293701172,10.629863739013672,5.07585334777832,3.9800000190734863,8.859999656677246,42.02000045776367,7.027751922607422,37.73593521118164,53.68610382080078,68.32117462158203,44.407386779785156,1.659999966621399,49.195587158203125,1.5891149044036865
2023-04-24,30.076269149780273,17.91327476501465,52.43405532836914,24.350000381469727,19.530000686645508,38.05754089355469,31.83329200744629,10.577370643615723,5.245048999786377,3.953000068664551,8.6899995803833,42.02000045776367,7.149080276489258,37.57417297363281,53.58634948730469,69.05087280273438,43.874229431152344,1.690000057220459,49.65627670288086,1.5891149044036865
2023-04-25,28.38448143005371,17.91327476501465,50.64250183105469,23.65999984741211,18.93000030517578,36.34385681152344,31.09507179260254,10.017443656921387,4.876800537109375,3.8459999561309814,8.699999809265137,42.02000045776367,7.009084701538086,36.21714782714844,51.6577033996582,65.66303253173828,41.87730026245117,1.6200000047683716,48.17619705200195,1.5420995950698853
2023-04-26,28.38448143005371,17.66097640991211,51.76000213623047,23.610000610351562,19.219999313354492,35.891357421875,32.10264587402344,10.349900245666504,4.926563262939453,3.8499999046325684,8.75,42.02000045776367,7.102416038513184,36.396888732910156,52.32275390625,65.576171875,43.57371520996094,1.6299999952316284,47.62728500366211,1.5232936143875122
2023-04-27,28.38448143005371,18.146167755126953,52.38084411621094,23.829999923706055,19.6299991607666,36.074283599853516,32.93064880371094,10.437389373779297,4.946469306945801,3.864500045776367,8.979999542236328,42.02000045776367,7.195745944976807,36.972049713134766,52.954551696777344,65.576171875,44.29106140136719,1.659999966621399,48.509456634521484,1.5232936143875122
